Age,YOS,TermBefore5Under30,TermBefore5B3039,TermBefore5Over39
93,2,NA,NA,0.12
93,3,NA,NA,0.12
93,4,NA,NA,0.11
94,0,NA,NA,0.17
94,1,NA,NA,0.14
94,2,NA,NA,0.12
94,3,NA,NA,0.12
94,4,NA,NA,0.11
95,0,NA,NA,0.17
95,1,NA,NA,0.14
95,2,NA,NA,0.12
95,3,NA,NA,0.12
95,4,NA,NA,0.11
96,0,NA,NA,0.17
96,1,NA,NA,0.14
96,2,NA,NA,0.12
96,3,NA,NA,0.12
96,4,NA,NA,0.11
97,0,NA,NA,0.17
97,1,NA,NA,0.14
97,2,NA,NA,0.12
97,3,NA,NA,0.12
97,4,NA,NA,0.11
98,0,NA,NA,0.17
98,1,NA,NA,0.14
98,2,NA,NA,0.12
98,3,NA,NA,0.12
98,4,NA,NA,0.11
99,0,NA,NA,0.17
99,1,NA,NA,0.14
99,2,NA,NA,0.12
99,3,NA,NA,0.12
99,4,NA,NA,0.11
100,0,NA,NA,0.17
100,1,NA,NA,0.14
100,2,NA,NA,0.12
100,3,NA,NA,0.12
100,4,NA,NA,0.11
